,B,G,R,Time_ms,Time_s,B_F,G_F,R_F,Green_Source,GRD_Source,ICA_Source_0,ICA_Source_1,ICA_Source_2,ICA_Best_Source
22,1.5207428564093664,2.387745981220749,1.8375295144570585,733.3333333333333,0.7333333333333333,1.2368729406591579,2.032922249755084,1.6251420681359001,2.032922249755084,0.4077801816191837,0.024489451693317173,0.014898485212899885,0.007790075128193502,0.014898485212899885
23,2.02154380588987,2.322070334770563,1.978279630263924,766.6666666666667,0.7666666666666667,1.1552056225773535,1.9655222405106834,1.5805503040543998,1.9655222405106834,0.3849719364562836,0.023922959146878076,0.014151690083665817,0.008595138851614784,0.014151690083665817
24,1.3963399275686958,2.2139426731219896,1.601953934488806,800.0,0.8,1.0694863610805097,1.886456045643742,1.5369398775731646,1.886456045643742,0.3495161680705774,0.023337092303998008,0.013084014489690746,0.009302478838594306,0.013084014489690746
25,1.2846937444785491,1.8891136231169896,1.681514384336539,833.3333333333335,0.8333333333333335,0.9745628575818199,1.7985369734271366,1.489268322670588,1.7985369734271366,0.3092686507565485,0.022694806108649067,0.011878166309810667,0.010080931308517622,0.011878166309810667
26,1.2788535383721469,1.8605816001211228,1.7222203372084974,866.6666666666667,0.8666666666666668,0.8700895566282428,1.7076845114350423,1.4328338076806173,1.7076845114350423,0.274850703754425,0.021960192026950626,0.01079187922570754,0.011031388525068053,0.01079187922570754
27,0.5491092903697213,1.7157197341725208,1.1798173523360955,900.0,0.9,0.7618606148448599,1.6213415149091104,1.3670371200118587,1.6213415149091104,0.25430439489725165,0.021135926387904135,0.010032265006308756,0.012134122823688049,0.010032265006308756
28,0.5694542196141427,1.52768198733821,1.3708649717201415,933.3333333333336,0.9333333333333336,0.6602602362242301,1.5462414518502159,1.2970117805864065,1.5462414518502159,0.24922967126380935,0.02028024701979104,0.009660334574795452,0.013253385858399047,0.009660334574795452
29,0.19030193449894003,1.4760416927157223,1.1261190102896659,966.6666666666664,0.9666666666666665,0.5763919154280561,1.486682411058932,1.2315447621744096,1.486682411058932,0.2551376488845225,0.019486133404301248,0.00959186919090096,0.014201304141881494,0.00959186919090096
30,0.7810632430384197,1.3775338655501583,1.5540638112028784,1000.0,1.0,0.5179186112228432,1.444061671984106,1.1787122618336479,1.444061671984106,0.2653494101504581,0.01883725571603541,0.009682646502134396,0.014825671994723094,0.009682646502134396
31,0.3562948473035102,1.3499933684717735,1.153879993589641,1033.3333333333337,1.0333333333333337,0.4869201009578732,1.4176983596079598,1.1421998697496683,1.4176983596079598,0.2754984898582915,0.018371199212556862,0.009832246287330234,0.015070270473754048,0.009832246287330234
